"Date","Desktop","Mobile","Tablet"
2014-01,65.67,25.64,8.69
2014-02,63.21,27.82,8.97
2014-03,63.58,27.88,8.54
2014-04,63.66,27.55,8.78
2014-05,64.33,27.01,8.66
2014-06,65.11,26.72,8.17
2014-07,58.07,33.51,8.42
2014-08,57.7,33.92,8.38
2014-09,57.33,34.57,8.1
2014-10,60.74,31.44,7.82
2014-11,60.69,30.89,8.43
2014-12,56.24,34.74,9.02
