"Date","Desktop","Mobile"
2009-01,99.36,0.64
2009-02,99.27,0.73
2009-03,99.22,0.78
2009-04,99.17,0.83
2009-05,99.19,0.81
2009-06,99.17,0.83
2009-07,99.1,0.9
2009-08,98.94,1.06
2009-09,98.84,1.16
2009-10,98.74,1.26
2009-11,98.77,1.23
2009-12,98.62,1.38
