"Date","Desktop","Mobile"
2011-01,93.3,6.7
2011-02,92.74,7.26
2011-03,92.62,7.38
2011-04,91.92,8.08
2011-05,91.38,8.62
2011-06,91.41,8.59
2011-07,90.9,9.1
2011-08,90.53,9.47
2011-09,90.75,9.25
2011-10,90.76,9.24
2011-11,89.28,10.72
2011-12,87.46,12.54
