"Date","Desktop","Mobile","Tablet"
2013-01,73.31,19.07,7.62
2013-02,70.44,20.82,8.74
2013-03,70.27,20.99,8.74
2013-04,70.55,20.86,8.59
2013-05,70.33,20.92,8.75
2013-06,70,21.19,8.81
2013-07,70.73,20.92,8.34
2013-08,70.04,21.43,8.53
2013-09,70.97,20.81,8.22
2013-10,70.01,21.63,8.36
2013-11,67.19,24.91,7.9
2013-12,66.91,24.71,8.38
