"Date","Desktop","Mobile","Tablet"
2015-01,57.71,33.72,8.58
2015-02,59.93,32.23,7.84
2015-03,55.3,36.42,8.28
2015-04,57.51,34.85,7.64
2015-05,53.97,37.87,8.15
2015-06,52.33,39.57,8.11
2015-07,52.46,39.21,8.32
2015-08,51.6,40.37,8.03
2015-09,51.91,40.25,7.84
2015-10,51.74,41.1,7.16
2015-11,52.96,39.96,7.09
2015-12,52.25,40.8,6.96
